,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
0,The Forever War,"=""""",Joe Haldeman,,,4.14,Voyager,278.0,2003,1974.0,,to-read," (The Forever War, #1)",False,51.0,False,Medium,Unknown
1,The Sparrow,"=""0449912558""",Mary Doria Russell,,,4.14,Ballantine Books,419.0,1997,1996.0,,to-read," (The Sparrow, #1)",False,29.0,False,Long,"Fiction, Historical Fiction, Jesuits"
2,Tender Is the Flesh,"=""1982150920""",Agustina Bazterrica,Sarah Moses,,3.78,Scribner,209.0,2020,2017.0,,to-read,Standalone,False,8.0,False,Medium,"Romance literature, New York Times reviewed, Fiction, dystopian"
3,Bunny,"=""0525559752""",Mona Awad,,,3.49,Penguin Books,305.0,2020,2019.0,,to-read,Standalone,False,6.0,False,Long,"American literature, Fiction, general, Graduate students"
4,Under the Skin,"=""1841954802""",Michel Faber,,3.0,3.75,Canongate Books Ltd,296.0,2004,2000.0,,read,Standalone,False,25.0,True,Medium,"Literature, Fiction, Hitchhiking"
5,Red Rising,"=""""",Pierce Brown,,4.0,4.27,Del Rey,382.0,2014,2014.0,2023-05-20,read," (Red Rising Saga, #1)",False,11.0,True,Long,Unknown
6,"I, Robot","=""0553803700""",Isaac Asimov,,4.0,4.21,Bantam Books,224.0,2004,1950.0,,read," (Robot, #0.1)",False,75.0,True,Medium,"smear campaigns, supercomputers, computers"
7,Children of Time,"=""1447273281""",Adrian Tchaikovsky,,,4.3,PanMacmillan,608.0,2015,2015.0,,to-read," (Children of Time, #1)",False,10.0,False,Long,"Fiction, Science Fiction, Life on other planets"
8,Annihilation,"=""0374104093""",Jeff VanderMeer,,3.0,3.78,"Farrar, Straus and Giroux",195.0,2014,2014.0,,read," (Southern Reach, #1)",False,11.0,True,Medium,"Nebula Award Winner, award:nebula_award=novel, award:nebula_award=2015"
9,Nightfall,"=""0553290991""",Isaac Asimov,Robert Silverberg,4.0,4.06,Bantam Books,339.0,2012,1990.0,,read,Standalone,False,35.0,True,Long,"American Science fiction, American Fantasy fiction, Fiction, science fiction, general"
10,"Computer Science Principles: The Foundational Concepts of Computer Science - For AP® Computer Science Principles, 1st Edition","=""""",Kevin  Hare,,,3.9,Kevin P. Hare,0.0,2017,,,to-read,Standalone,False,,False,Short,Unknown
