Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21611,"The Forever War (The Forever War, #1)",Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",0,4.14,Voyager,Paperback,278,2003,1974,,2025/01/15,to-read,to-read (#86),to-read,,,,0,0
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",0,4.14,Ballantine Books,Paperback,419,1997,1996,,2025/01/03,to-read,to-read (#85),to-read,,,,0,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",0,3.78,Scribner,Paperback,209,2020,2017,,2025/01/03,to-read,to-read (#84),to-read,,,,0,0
53285047,Bunny,Mona Awad,"Awad, Mona",,"=""0525559752""","=""9780525559757""",0,3.49,Penguin Books,Paperback,305,2020,2019,,2025/01/03,to-read,to-read (#83),to-read,,,,0,0
123063,Under the Skin,Michel Faber,"Faber, Michel",,"=""1841954802""","=""9781841954806""",3,3.75,Canongate Books Ltd,Paperback,296,2004,2000,,2020/07/01,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.27,Del Rey,Hardcover,382,2014,2014,2023/05/20,2021/09/09,,,read,,,,1,0
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803700""","=""9780553803709""",4,4.21,Bantam Books,Hardcover,224,2004,1950,,2022/12/05,,,read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.30,PanMacmillan,Hardcover,608,2015,2015,,2022/12/06,to-read,to-read (#82),to-read,,,,0,0
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104093""","=""9780374104092""",3,3.78,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2022/06/28,,,read,,,,1,0
99245,Nightfall,Isaac Asimov,"Asimov, Isaac",Robert Silverberg,"=""0553290991""","=""9780553290998""",4,4.06,Bantam Books,Mass Market Paperback,339,2012,1990,,2021/07/08,,,read,,,,1,0
34942296,"Computer Science Principles: The Foundational Concepts of Computer Science - For AP® Computer Science Principles, 1st Edition",Kevin  Hare,"Hare, Kevin",,"=""""","=""""",0,3.90,Kevin P. Hare,Kindle Edition,0,2017,,,2021/01/19,to-read,to-read (#45),to-read,,,,0,0
9799221,Soylent Green,Harry Harrison,"Harrison, Harry",,"=""""","=""""",0,3.71,,Mass Market Paperback,224,1973,1966,,2022/05/23,to-read,to-read (#81),to-read,,,,0,0
2767,A People’s History of the United States: 1492 - Present,Howard Zinn,"Zinn, Howard",,"=""0060838655""","=""9780060838652""",4,4.08,Harper Perennial,Paperback,729,1995,1980,,2020/03/12,,,read,,,,1,0
150062,Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design,Michael J. Hernandez,"Hernandez, Michael J.",,"=""0201752840""","=""0785342752847""",0,3.92,Addison-Wesley Professional,Paperback,611,2003,1996,,2021/12/17,to-read,to-read (#80),to-read,,,,0,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.37,Pearson,Paperback,464,2008,2007,,2021/12/17,to-read,to-read (#79),to-read,,,,0,0
4845,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,"McConnell, Steve",,"=""0735619670""","=""9780735619678""",0,4.30,Microsoft Press,Paperback,914,2004,1993,,2021/12/17,to-read,to-read (#78),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,2021/12/17,2020/03/12,,,read,,,,1,0
10900047,Midnight Rising: John Brown and the Raid That Sparked the Civil War,Tony Horwitz,"Horwitz, Tony",,"=""080509153X""","=""9780805091533""",4,4.00,Henry Holt and Co.,Hardcover,384,2011,2011,2021/12/17,2021/08/21,,,read,,,,1,0
10644930,11/22/63,Stephen        King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.34,Scribner,Hardcover,849,2011,2011,,2021/09/02,to-read,to-read (#77),to-read,,,,0,0
667,Anthem,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452281253""","=""9780452281257""",0,3.61,NAL,Paperback,105,1999,1938,,2021/08/30,to-read,to-read (#76),to-read,,,,0,0
11371,It Can't Happen Here,Sinclair Lewis,"Lewis, Sinclair",,"=""045121658X""","=""9780451216588""",0,3.79,Berkley,Paperback,400,2005,1935,,2021/08/30,to-read,to-read (#75),to-read,,,,0,0
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",0,3.88,Penguin Books,Paperback,256,1993,1924,,2021/08/30,to-read,to-read (#74),to-read,,,,0,0
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,"=""0143036556""","=""9780143036555""",0,3.93,Penguin Books Ltd. (London),Paperback,608,2005,2004,,2021/01/22,to-read,to-read (#73),to-read,,,,0,0
7733,Gulliver’s Travels,Jonathan Swift,"Swift, Jonathan","Louis Rhead, William Dean Howells, Robert DeMaria Jr., Joshua Shelton","=""0141439491""","=""9780141439495""",0,3.59,Penguin,Paperback,306,2017,1726,2021/08/21,2020/03/12,,,read,,,,1,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",0,4.01,William Morrow,Hardcover,268,2006,2005,,2021/08/18,to-read,to-read (#72),to-read,,,,0,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2021/08/10,to-read,to-read (#71),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2021/08/08,to-read,to-read (#70),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""""","=""""",0,4.28,Ace,Hardcover,658,2019,1965,2021/08/07,2020/03/12,,,read,,,,1,0
